#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};{68492efd-8630-4840-86ca-041043c1a7ed};1887;NP-CZ-7016;245
{b498c95e-f9eb-4e48-85d3-ae118de4a4f1};{9495e186-fc49-4ef6-951a-a02fd17c323d};1913;NP-TF-7016;244
{0809ea9f-482a-4597-a6db-cb37e4c0b933};{c263eb64-102b-4a06-a764-7d2b9fbbff31};1832;NP-CL2+CLT2+CLB2-9010;241
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};{5f8ebe76-33cd-447d-a619-9afd87fbc9ae};2541;NP-ROLL70-5000;235
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};{19fac168-a70d-48cc-9e6a-66d60c090bcf};2470;NP-BAR12-4000;235
{5c986ac9-1d37-4be8-bd62-b451ba9162d1};{9283bded-6713-44ae-863f-31b457e58142};1980;NP-T-7016;245
{945a55c5-6d35-433e-8abe-89daba2aa150};{8321365d-07c9-47df-b495-2861f40a082a};1887;NP-CL2+CLT2+CLB2-7016;245
{e3a53807-d58c-4842-b8c9-4e20b7d41562};{90ad7862-844e-4136-8c93-f6d1ae20542f};1743;NP-BAR22-3000;244
{5947cd13-ea8b-4680-b1e8-18257f0a8c20};{2eeedf47-47b2-4748-944d-6e3703f46158};1832;NP-CZ-9010;241
{533634c6-2988-403b-b916-bab7d2499a43};{2592c140-b10f-445e-8ffe-8a2d3460e7b7};2005;NP-TF-7016;245
#LEFTOVERS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};selejt;0
{323daec1-1ea3-4bf8-bc48-e61ebc57baa4};selejt;294
{7f0f046c-273e-45fd-8f9a-7bbd23bc709b};selejt;349
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};selejt;368.6
