#VERSION 2
#CUTPLANS
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};{40a4c299-f1f4-4438-94ad-4dc1afbef8b0};2075;NP-SZ;326
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};{461808a5-95cc-4157-812d-8e02ad974fcb};2325;NP-SZ;327
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};{037c826f-0696-48ab-92fa-d9a23379fecc};2820;NP-T-9010;311 1/2
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};{28f7fd58-9e64-450f-be77-ccde5b932450};2820;NP-T-9010;311 2/2
{5b72d094-f114-4a1a-a126-244372687421};{f4dd64c0-c1e5-4095-a71b-d9c2e539db1b};2145;NP-T;326
{5b72d094-f114-4a1a-a126-244372687421};{a5b4a0b5-d462-4f67-8550-f848900f5e8b};2395;NP-T;327
{0cbe2552-de57-4da8-9fba-1b7715802ba6};{9c090e1b-3948-48c6-97a5-4729a564d189};2997;NP-CL2+CLT2+CLB2-9010;311 1/2
{e9878f0a-90c6-4a7c-b596-93502380556c};{3902a91e-a2b3-4cac-8341-a03a7aca7bad};2997;NP-CL2+CLT2+CLB2-9010;311 2/2
{6836a4a4-81e2-452a-8e04-52dca2adf21f};{1c679013-51dd-4cb4-802a-d374be918225};2280;NP-BAR12-4000;327
{9fb99be6-380f-4769-a799-62e4d26ee2cf};{c3fdb4d0-bb00-4593-9a79-a9a5dc9b1310};2356;NP-ROLL70-5000;327
{fe9ec26c-c1b1-4051-839f-c327086594d0};{4f73a093-73a6-456b-bc35-af71bd979144};2727;NP-CZ-9010;311 2/2
{4886e9d4-b64d-4cb1-8648-bdebb15523fa};{5ba5cdc8-6509-4b6d-934b-cab71f364ffc};2845;NP-TF-9010;311 2/2
#LEFTOVERS
{2b0c4ff6-6bd8-4f74-848e-715666677d29};selejt;0
{0072add7-b9dc-411a-9a92-6354770295d6};selejt;32
{195a1fc3-13de-4c07-b8d4-e719b85cd0a9};RST-C-615;803
{3ead0791-3557-467f-9165-378ee28f8968};selejt;132
{25a757c7-17db-4bc5-838f-cab3638591d0};RST-C-616;1879.4
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};RST-C-617;1879.4
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};selejt;185.4
{af829b96-451d-41a7-9f26-648f7d9ab0eb};selejt;325.4
{fc1a2637-7161-4e21-8349-3c183d91226b};selejt;185.4
{c33e4155-af59-4752-81b5-9967cfd7d439};RST-C-618;1216
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};RST-C-619;2261
{19996193-f2dc-49f6-a59d-c08146460f98};RST-C-620;1216
{85c24621-ee2b-4a1c-8de6-779e02563c7a};RST-C-621;2261
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};RST-C-622;794
{3c8001b1-f446-4aa7-82df-4a3cdf643cb7};RST-C-623;1744.8
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};RST-C-624;1435.4
{b383ae63-71cc-42b6-94d0-73c8fbb5a448};selejt;401.8
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};RST-C-625;1575.4
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};selejt;335.4
{5b72d094-f114-4a1a-a126-244372687421};RST-C-626;1435.4
{0cbe2552-de57-4da8-9fba-1b7715802ba6};RST-C-627;1599.8
{e9878f0a-90c6-4a7c-b596-93502380556c};RST-C-628;3981.6
{6836a4a4-81e2-452a-8e04-52dca2adf21f};RST-C-629;1716
{9fb99be6-380f-4769-a799-62e4d26ee2cf};RST-C-630;2640
{fe9ec26c-c1b1-4051-839f-c327086594d0};RST-C-631;4251.6
{4886e9d4-b64d-4cb1-8648-bdebb15523fa};selejt;501.8
