#VERSION 2
#CUTPLANS
{d00fc2a9-50a7-499a-a7e4-9517756f7240};selejt;66
{375d4b1d-ef32-4d98-a9dc-67db732f527a};selejt;101.8
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};RST-B-615;1190.4
{2604821c-06c6-4888-8c0b-5967c013b7b7};RST-B-616;894.8
{d14417c5-75a9-4931-a13b-b9052f5674b1};selejt;344
{8ba24ba1-2b83-4389-b81f-c1c317a58dda};selejt;431.8
{7e89edb1-37c7-428b-9ef1-aef6f2060182};selejt;274.8
{b5bb782c-c72f-403a-a45f-ff371285628c};RST-B-617;1881.4
{fd73c444-1598-45e9-b481-575bab32770b};RST-B-618;4481.6
{c7d4122e-088a-4ad3-9855-8dafdd597744};RST-B-619;1549.8
{19b600ce-18a1-46fa-9134-18543303f34d};RST-B-620;1981.4
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};RST-B-621;3251.6
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};RST-B-622;3251.6
{fc5d77c2-3949-49f1-919c-66a231546aac};selejt;550
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};RST-B-623;2133.6
{7012afec-3bf4-4ddd-be58-ddde01ca3a80};RST-B-624;879.8
{c558f981-f606-45ef-9b33-d6a45637e536};RST-B-625;2158.6
{96e343bf-0d25-4f39-804d-a2a9301589f3};RST-B-626;773.8
{67d219a5-fa92-4922-a997-12ec455d12e9};RST-B-627;1257
{4d7438e7-226e-497d-b5e9-6d74f47b335f};RST-B-628;2471
{aacb9889-d99f-4dcb-a8dd-0e466d84da22};RST-B-629;903
{967579eb-4809-43e9-aee6-2bc330e5b511};RST-B-630;2133.6
{2ed781f8-7f24-426f-946e-18698eaf26af};RST-B-631;3496.6
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};RST-B-632;4533.6
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};RST-B-633;2158.6
