#VERSION 2
#CUTPLANS
{67d34453-9a73-4265-9470-98573b738897};{1222fd2d-fc29-4ada-8011-6d9af03fb814};605;NP-BAR22-3000;298
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};{01d428d4-7abb-4af2-8dc8-deb4ca6afb6f};970;NP-T-9010;290
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};{d7264779-5215-4195-ae2e-0ddc9edc02ed};1200;NP-T-9010;292
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};{bb4905f2-68f9-4f8c-bbb1-dd1b49d80e7a};2440;NP-T-9010;293
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};{6a632c7e-57cd-42fa-9225-4d175814c7b8};1095;NP-T-9010;294
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};{f270930d-319a-434c-a4e7-882c999eedbc};889;NP-ROLL70-5000;290
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};{7c3cc3eb-0482-400e-a265-071b34a8ae95};1119;NP-ROLL70-5000;292
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};{32e67c7d-1657-49ff-bd8a-0b7476603bf7};2359;NP-ROLL70-5000;293
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};{cb4460dd-8529-46f1-8386-da2e49f2d43f};1014;NP-ROLL70-5000;294
{7690434b-4ebd-455f-8d51-e4ef1d99f756};{34cb3608-41df-4a7c-aab0-30991e6d031b};877;NP-CZ-9010;290
{7690434b-4ebd-455f-8d51-e4ef1d99f756};{e945d6e7-9b13-4129-b7f7-581e4f2fadfa};2312;NP-CZ-9010;291
{7690434b-4ebd-455f-8d51-e4ef1d99f756};{a4c5adb0-ddb3-4c5a-bebe-38c514194c13};3657;NP-CZ-9010;298
{174af7ca-5bce-41e0-9979-8d814800e411};{a07f3bd7-685b-4810-8806-9cff81b77b2b};1925;NP-TF-9010;297
{174af7ca-5bce-41e0-9979-8d814800e411};{3921ff40-9a6c-4834-b07c-221a5c0aaee3};3775;NP-TF-9010;298
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};{e9febae2-2885-45e6-8637-6030e379072e};1900;NP-T-9010;297
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};{f4127108-7263-475b-96bd-e3a326fb6540};3750;NP-T-9010;298
{bf37cb67-2422-425e-85b6-28528947205e};{e5003ade-b13c-4e5e-a177-b654045b2961};2339;NP-ROLL70-5000;289
