#VERSION 2
#CUTPLANS
{d0d55420-2ce3-4162-a915-74862b7f1981};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d0d55420-2ce3-4162-a915-74862b7f1981};2;P;3669;MAT-S-605;{7ae90538-9a9b-4b80-8aee-18a7bd7c0e12};298
{d0d55420-2ce3-4162-a915-74862b7f1981};3;K;2;KERF;{7ae90538-9a9b-4b80-8aee-18a7bd7c0e12};298
#PIECES
{3a189857-112b-49b3-9c82-840f58e12377};{c3f32e8b-68dc-4503-9e5a-5afbd99b70da};1525;NP-BAR22-3000;297
{71abe924-7f1c-4a5c-a713-56789204a93f};{0a14e56e-3922-4603-85be-c98d86917f3e};3000;NP-BAR22-3000;298
{5f287f06-114a-42ee-b9f9-ca4b786be795};{bda7750e-a521-4892-bc26-816eb740fa0d};825;NP-BAR22-3000;290
{5f287f06-114a-42ee-b9f9-ca4b786be795};{217e0bcd-eac6-45a5-af71-270edd52d0fc};1055;NP-BAR22-3000;292
{5f287f06-114a-42ee-b9f9-ca4b786be795};{63164c64-5bdc-46ec-b795-e26e062cc45e};2295;NP-BAR22-3000;293
{5f287f06-114a-42ee-b9f9-ca4b786be795};{e030f1c6-898d-4c96-89c8-7bddf28f29b8};950;NP-BAR22-3000;294
{5f287f06-114a-42ee-b9f9-ca4b786be795};{10bbbefc-4320-47e0-9087-10d49208e0ae};205;NP-BAR22-3000;297
{5f287f06-114a-42ee-b9f9-ca4b786be795};{f7a9e6df-4e1b-462b-9a1d-a4642af4d35b};605;NP-BAR22-3000;298
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};{feeba566-b57f-4c2f-b4e5-613cd50a925f};2327;NP-CZ-9010;289
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};{3bfcc836-5ed8-4bf0-ae3b-9f62971ebfbd};1107;NP-CZ-9010;292
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};{cb9da626-9969-4009-9d40-16b667a63eab};2347;NP-CZ-9010;293
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};{e40855ce-b920-4f9d-84ff-3bd0e1ac689a};1002;NP-CZ-9010;294
{284e7a14-748c-443e-8396-3cd8c9517875};{1bf35bba-dc52-4a78-a6a6-f34b2f21ceec};970;NP-T-9010;290
{284e7a14-748c-443e-8396-3cd8c9517875};{24686b4e-44be-4ac2-800e-42a286b6e4b7};1200;NP-T-9010;292
{284e7a14-748c-443e-8396-3cd8c9517875};{676ade94-5884-4c65-998a-7d9187b12d95};2440;NP-T-9010;293
{284e7a14-748c-443e-8396-3cd8c9517875};{f4264553-f29b-4114-9f3c-28c4f09282a4};1095;NP-T-9010;294
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};{c9e163e3-5e92-4ef4-9fc3-bf8d86a7fcb9};995;NP-TF-9010;290
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};{535b915e-0911-44ce-9a92-f4d52e2026c8};1225;NP-TF-9010;292
