#VERSION 2
#CUTPLANS
{f0c3b9ea-5f41-4e05-9990-0c89aa70887c};{e1374071-77c2-4ac0-94e9-fe6194830272};1979;NP-ROLL70-5000;302
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};{dc963a7f-cfcf-4fb9-8798-ddfed85c2660};1495;NP-TF-9010;301
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};{0845dc6c-fd84-4c82-b1c8-2845daefe7a1};2615;NP-TF-9010;304
{cdb21400-6f0f-4436-8d7f-4ce852a8ff2a};{98cdf314-fea6-478a-b474-4acd16dcfa42};2497;NP-CZ-9010;304
{4c1c7711-5169-4d27-ae99-a798624e50d5};{ffa973b9-499b-4ad9-8bf4-27c0cfb6ca9a};1915;NP-BAR22-3000;302
{4c1c7711-5169-4d27-ae99-a798624e50d5};{3b3f7282-521b-402c-96e4-6964ee03ea87};1965;NP-BAR22-3000;303
{8641df30-2542-4b7f-9261-6d51b9249689};{a1a02940-dd19-463b-ae48-a38c18e2828f};2252;NP-CL2+CLT2+CLB2-9010;303
{8641df30-2542-4b7f-9261-6d51b9249689};{afc4a0d9-5e63-4a59-af9f-5f2790e16729};2252;NP-CL2+CLT2+CLB2-9010;305
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};{72e8ffec-078b-49ef-85ff-6d80d71d67f5};2509;NP-ROLL70-5000;304
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};{99d5a8f9-669d-4439-8a17-910ce78e7f5e};2609;NP-ROLL70-5000;305
{b48c139b-8279-4261-8858-68bf6c079081};{b640f106-ea51-4c66-a2a2-ce9518231bd5};1470;NP-T-9010;301
{73398d37-6856-4b2c-ba9c-3148af26c04b};{6cc38cb1-0e80-4c6c-af8d-7b956a8fe0a7};1967;NP-CZ-9010;302
{13f718d9-5f6c-4c23-b8e2-4f7a1a7f4ac6};{b4ce2f21-4381-4178-b6bd-5c671c33da4a};2267;NP-CLB2;304
#LEFTOVERS
{8dc53c45-f669-4c1d-a38f-f3a4aa3e40be};selejt;0
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};selejt;118.6
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};selejt;523.6
{d3bfd188-c173-4139-98e4-e7e7556dc453};selejt;79.6
{1bec0ecb-e079-4223-8be9-1bc1e7b9c48e};RST-C-550;823
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};selejt;191.2
{5c164503-a840-4b26-ba6a-c95746f278ed};selejt;629
{3a853685-bfdd-4f13-ac09-51edc415d279};RST-C-551;1154
{c164bad0-7849-4dfc-8600-5a373529cad0};selejt;99
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};RST-C-552;1175.4
{b51abbc6-e089-48f6-8d51-837c7d6cc7a9};selejt;606.8
{29466e78-8b5a-43e5-aed6-5ec3dc5584a3};selejt;644.8
{f0c3b9ea-5f41-4e05-9990-0c89aa70887c};selejt;149
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};RST-C-553;1865.4
{cdb21400-6f0f-4436-8d7f-4ce852a8ff2a};selejt;199.8
{4c1c7711-5169-4d27-ae99-a798624e50d5};RST-C-554;2264
{8641df30-2542-4b7f-9261-6d51b9249689};RST-C-555;2471.4
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};RST-C-556;876
{b48c139b-8279-4261-8858-68bf6c079081};RST-C-557;4508.6
{73398d37-6856-4b2c-ba9c-3148af26c04b};selejt;229.8
{13f718d9-5f6c-4c23-b8e2-4f7a1a7f4ac6};RST-C-558;1419.8
