materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-T;850;Manual;;RSM-430;CM2WH;2026-07-10T12:39:44;2026-07-10T12:39:44;unknown;0
NP-TF;850;Manual;;RSM-431;CM2WH;2026-07-10T12:40:00;2026-07-10T12:40:00;unknown;0
NP-T;1000;Manual;;RSM-432;CM2WH;2026-07-10T12:40:15;2026-07-10T12:40:15;unknown;0
NP-T;1075;Manual;;RSM-433;CM2WH;2026-07-10T12:40:21;2026-07-10T12:40:21;unknown;0
NP-T;1150;Manual;;RSM-434;CM2WH;2026-07-10T12:40:23;2026-07-10T12:40:23;unknown;0
NP-T;975;Manual;;RSM-435;CM2WH;2026-07-10T12:40:29;2026-07-10T12:40:29;unknown;0
NP-TF;950;Manual;;RSM-437;CM2WH;2026-07-10T12:41:00;2026-07-10T12:41:00;unknown;0
NP-TF;975;Manual;;RSM-438;CM2WH;2026-07-10T12:41:14;2026-07-10T12:41:14;unknown;0
NP-TF;1000;Manual;;RSM-439;CM2WH;2026-07-10T12:41:18;2026-07-10T12:41:18;unknown;0
NP-TF;850;Manual;;RSM-440;CM2WH;2026-07-10T12:41:20;2026-07-10T12:41:20;unknown;0
NP-TF;875;Manual;;RSM-441;CM2WH;2026-07-10T12:41:23;2026-07-10T12:41:23;unknown;0
NP-SZ;2025;Manual;;RSM-450;CM2WH;2026-07-14T09:18:40;2026-07-14T09:18:40;unknown;0
NP-CL-7016;2000;Manual;;RSM-455;CM2WH;2026-07-14T09:20:45;2026-07-14T09:20:45;unknown;0
NP-CL-7016;2025;Manual;;RSM-456;CM2WH;2026-07-14T09:20:55;2026-07-14T09:20:55;unknown;0
NP-T;925;Manual;;RSM-458;CM2WH;2026-07-14T09:21:18;2026-07-14T09:21:18;unknown;0
NP-CLB;1000;Manual;;RSM-459;CM2WH;2026-07-14T09:21:29;2026-07-14T09:21:29;unknown;0
NP-ROLL70-7000;810;Manual;;RSM-460;CM1WH;2026-07-15T13:41:33;2026-07-15T13:41:33;unknown;0
NP-ROLL70-7000;1075;Manual;;RSM-462;CM1WH;2026-07-15T13:41:46;2026-07-15T13:41:46;unknown;0
NP-ROLL70-7000;890;Manual;;RSM-463;CM1WH;2026-07-15T13:41:50;2026-07-15T13:41:50;unknown;0
NP-ROLL70-7000;1575;Manual;;RSM-464;CM1WH;2026-07-15T13:41:55;2026-07-15T13:41:55;unknown;0
NP-BAR22-3000;1330;Manual;;RSM-471;CM1WH;2026-07-15T13:43:06;2026-07-15T13:43:06;unknown;0
NP-ROLL78-7000;3040;Manual;;RSM-475;CM1WH;2026-07-16T10:30:05;2026-07-16T10:30:05;unknown;0
NP-ROLL78-7000;3040;Manual;;RSM-476;CM1WH;2026-07-16T10:30:13;2026-07-16T10:30:13;unknown;0
NP-BAR12-4000;2195;Manual;;RSM-478;CM1WH;2026-07-16T10:30:52;2026-07-16T10:30:52;unknown;0
NP-BAR12-4000;1680;Manual;;RSM-479;CM1WH;2026-07-16T10:30:58;2026-07-16T10:30:58;unknown;0
NP-BAR12-4000;1680;Manual;;RSM-480;CM1WH;2026-07-16T10:31:04;2026-07-16T10:31:04;unknown;0
NP-BAR12-4000;1720;Manual;;RSM-481;CM1WH;2026-07-16T10:31:16;2026-07-16T10:31:16;unknown;0
NP-BAR12-4000;1680;Manual;;RSM-482;CM1WH;2026-07-16T10:31:24;2026-07-16T10:31:24;unknown;0
